storeno	city	zip
4	BOCA RATON	33432
7	HIALEAH	33012
12	HOUSTON	77034
15	HOUSTON	77024
17	HOUSTON	77069
19	POMPANO BEACH	33060
20	HOUSTON	77092
21	FORT MYERS	33907
22	NASHVILLE	37205
24	JACKSONVILLE	32205
27	LOUISVILLE	40207
32	GREENSBORO	27403
34	ST PETERS	63376
35	MIAMI	33186
37	KNOXVILLE	37919
41	CHARLOTTE	28217
42	LEXINGTON	40509
44	CREVE COEUR	63141
45	DAVIE	33324
47	TULSA	74145
48	BRIDGETON	63044
50	TULSA	74112
52	LOUISVILLE	40219
56	HARVEY	70058
58	MADISON	37115
59	BIRMINGHAM	35209
60	EVANSVILLE	47715
61	HOUSTON	77054
62	GREENVILLE	29607
67	HOUSTON	77042
68	EAST BATON ROUGE	70806
70	CORPUS CHRISTI	78411
71	.NHBYUGT76\	33426
73	FORT WAYNE	46805
77	ROSWELL	30076
80	OMAHA	68144
83	OKLAHOMA CITY	73139
84	DAYTON	45459
85	IRVING	75062
86	HOUSTON	77098
87	DAYTON	45426
88	DALLAS	75234
89	JACKSON	39211
90	MARGATE	33073
91	BOCA RATON	33434
95	CLEARWATER	33761
96	ATLANTA	30345
98	BALTIMORE	21228
100	BETHEL PARK	15102
101	LAFAYETTE	70503
102	WEST PALM BEACH	33409
103	DALLAS	75243
106	SPRINGFIELD	65804
107	TAMPA	33619
108	TALLAHASSEE	32301
110	DAYTONA BEACH	32114
111	LEON VALLEY	78238
112	ST PETERSBURG	33710
117	BROOKFIELD	53005
120	DALLAS	75219
121	LITTLE ROCK	72211
122	DURHAM	27707
127	HOLLYWOOD	33021
129	GARLAND	75041
130	ARLINGTON	76015
135	JACKSONVILLE	32256
136	PEMBROKE PINES	33024
137	STONE MOUNTAIN	30083
138	PLANO	75075
141	MILWAUKEE	53212
142	APPLETON	54914
143	MARIETTA	30062
146	CHAMBLEE	30341
147	MADISON	53711
149	WINTER PARK	32789
151	STUART	34994
155	WACO	76710
156	MESQUITE	75150
159	HOUSTON	77031
161	MCALLEN	78503
162	LAKE WORTH	33463
163	MONTGOMERY	36116
165	LINCOLN	68504
166	AMARILLO	79109
170	BOULDER	80301
173	BALTIMORE	21234
178	BEAUMONT	77701
180	ASHEVILLE	28805
183	HIGH POINT	27262
186	GAINESVILLE	32601
188	NAPLES	34102
189	NORTH MIAMI BEACH	33160
190	SILVER SPRING	20904
195	EL PASO	79925
196	LUBBOCK	79413
197	WILMINGTON	28403
199	CHICAGO	60659
200	SPARTANBURG	29301
201	TAMPA	33609
202	PENSACOLA	32503
204	RALEIGH	27609
206	FORT WALTON BEACH	32548
211	PALM BEACH GARDENS	33410
212	INDEPENDENCE	64055
213	MIAMI SPRINGS	33166
214	CHICAGO RIDGE	60415
216	FORT WORTH	76116
221	ROYAL OAK	48073
223	EL PASO	79912
225	CHICAGO	60657
233	SOUTHFIELD	48034
234	NORTH LITTLE ROCK	72116
235	KALAMAZOO	49008
238	PEORIA	61614
239	KANSAS CITY	64111
242	TYLER	75703
248	PANAMA CITY	32405
249	COLUMBIA	65203
250	BRENTWOOD	37027
251	NAPERVILLE	60563
253	BURLINGTON	27215
256	LAKEWOOD	80226
258	JACKSONVILLE	32244
259	BATON ROUGE	70808
262	HUMBLE	77338
263	FLINT	48507
264	OCALA	34474
266	LAKE CHARLES	70601
270	TUSCALOOSA	35405
271	BILOXI	39531
273	MANCHESTER	63011
274	DOTHAN	36301
279	GREENVILLE	27858
281	MIAMI	33145
282	MIDLAND	79705
284	MERRITT ISLAND	32952
286	ORLANDO	32806
287	BLUE ASH	45242
291	BOSSIER CITY	71111
295	MINNETONKA	55305
304	AUSTIN	78704
305	CHAMPAIGN	61820
306	PORT RICHEY	34668
307	PLANO	75093
308	COLUMBUS	31904
312	GREENSBORO	27408
315	CHARLOTTE	28269
317	CARY	27518
319	PINEVILLE	28134
321	WINSTON-SALEM	27127
322	DALLAS	75206
323	SPRINGFIELD	62704
324	HATTIESBURG	39402
329	LEESBURG	34748
330	NORTHVILLE	48168
331	CLARKSVILLE	47129
332	COLUMBIA	29210
335	DALTON	30720
336	FLORENCE	29501
337	SAN ANTONIO	78224
339	RESTON	20190
340	DOWNERS GROVE	60515
342	ROCK HILL	29732
343	FAYETTEVILLE	72703
344	COVINGTON	70433
345	OAKRIDGE NORTH	77385
346	SAN ANTONIO	78230
347	ABILENE	79605
348	EASTPOINTE	48021
349	ALEXANDRIA	71301
352	MANASSAS	20109
353	FAYETTEVILLE	30214
355	MADISON	53704
356	WINSTON-SALEM	27106
357	FT SMITH	72903
359	TULSA	74136
360	SNELLVILLE	30078
364	FALLS CHURCH	22042
366	LIVONIA	48150
368	AUSTIN	78752
369	HUNTSVILLE	35801
371	FORT LAUDERDALE	33309
